dress,连衣裙
T-shirt,T恤衫
shirt,衬衫
skirt,短裙
trousers,长裤
shoes,鞋子
socks,袜子
coat,外套
sweater,毛衣
jacket,夹克衫
hat,帽子
wear,穿；戴
put on,穿上；戴上
take off,脱下；摘下
wash,洗
clean,干净的；打扫
kitchen,厨房
living room,客厅
bedroom,卧室
bathroom,卫生间
garden,花园
flat,公寓
house,房子
TV,电视
CD,光盘
computer,电脑
phone,电话
radio,收音机
camera,照相机
bookcase,书架
desk,书桌
chair,椅子
fridge,冰箱
table,桌子
eat,吃
drink,喝
cook,烹饪
go shopping,去购物
watch TV,看电视
listen to,听
talk,说话；交谈
to,去；向
us,我们（宾格）
them,他们（宾格）
him,他（宾格）
her,她（宾格）
it,它（宾格）
me,我（宾格）
egg,鸡蛋
rice,米饭
noodles,面条
bread,面包
meat,肉
fish,鱼
vegetable,蔬菜
sweet,甜的
sour,酸的
salty,咸的
spicy,辣的
delicious,美味的
like,喜欢
don't like,不喜欢
want,想要
have,吃；喝
make,制作
buy,买
come from,来自
China,中国
Chinese,中国的；中国人
UK,英国
English,英国的；英国人
America,美国
American,美国的；美国人
Canada,加拿大
Canadian,加拿大的；加拿大人
Australia,澳大利亚
Australian,澳大利亚的；澳大利亚人
where,在哪里
what time,几点
in the morning,在早上
at noon,在中午
in the afternoon,在下午
at night,在晚上
get up,起床
go to school,去上学
go home,回家
have class,上课
play sports,做运动