nurse,护士
driver,司机
policeman,警察
waiter,服务员
farmer,农民
shop assistant,店员
engineer,工程师
scientist,科学家
artist,艺术家
job,工作；职业
future,未来
want to be,想成为
study,学习
work,工作
do homework,做作业
read a book,读书
listen to music,听音乐
watch a film,看电影
go for a walk,散步
often,经常
sometimes,有时候
never,从不
always,总是
usually,通常
every day,每天
week,周；星期
weekend,周末
vacation,假期
holiday,假日
get dressed,穿衣服
take a photo,拍照
play the piano,弹钢琴
do the dishes,洗碗
clean the room,打扫房间
help,帮助
take care of,照顾
wash the car,洗车
sweep the floor,扫地
busy,忙碌的
free,空闲的
before,在...之前
after,在...之后
next,下一个
then,然后
city,城市
town,城镇
village,乡村
countryside,乡村；郊外
bridge,桥
road,道路
square,广场
traffic,交通
light,灯；光
loud,大声的；吵闹的
quiet,安静的
clean,干净的
dirty,脏的
safe,安全的
dangerous,危险的
healthy,健康的
unhealthy,不健康的
fast,快的
slow,慢的
easy,容易的
difficult,困难的
heavy,重的
light,轻的
many,许多（可数）
much,许多（不可数）
some,一些
any,任何
food,食物
fruit,水果
vegetable,蔬菜
drink,饮料
sweet,甜食
bitter,苦的
sour,酸的
salty,咸的
spicy,辣的